1726000565.9996197, [ 0 -1], 1.0, [ 0. -1.], 1.0, Center
1726000566.0517201, [3 0], 3.0, [ 1.5 -0.5], 1.5811388300841898, Right
1726000566.0973625, [ 0 -1], 1.0, [ 1.         -0.66666667], 1.2018504251546631, Right
1726000566.1455917, [ 0 -2], 2.0, [ 0.75 -1.  ], 1.25, Right
1726000566.1890678, [-1 -1], 1.4142135623730951, [ 0.4 -1. ], 1.077032961426901, Right
1726000566.236333, [ 0 -2], 2.0, [ 0.4 -1.2], 1.2649110640673518, Right
1726000566.2841675, [ 1 -1], 1.4142135623730951, [ 0.  -1.4], 1.4, Center
1726000566.3311872, [ 0 -1], 1.0, [ 0.  -1.4], 1.4, Center
1726000566.37769, [ 0 -1], 1.0, [ 0.  -1.2], 1.2, Center
1726000566.4287367, [0 1], 1.0, [ 0.2 -0.8], 0.8246211251235323, Right
1726000566.4756532, [0 0], 0.0, [ 0.2 -0.4], 0.447213595499958, Right
1726000566.51341, [-1 -1], 1.4142135623730951, [-0.2 -0.4], 0.447213595499958, Left
1726000566.5514014, [-1  2], 2.23606797749979, [-0.4  0.2], 0.447213595499958, Left
1726000566.5992758, [ 0 -1], 1.0, [-0.4  0.2], 0.447213595499958, Left
1726000566.6533039, [-2  0], 2.0, [-0.8  0. ], 0.8, Left
1726000566.716827, [-2  0], 2.0, [-1.25  0.25], 1.2747548783981961, Left
1726000566.7725115, [-6 -1], 6.082762530298219, [-2.5 -0.5], 2.5495097567963922, Left
1726000566.8245125, [-2  0], 2.0, [-3.   -0.25], 3.010398644698074, Left
1726000566.8645163, [0 1], 1.0, [-2.5  0. ], 2.5, Left
1726000566.9113798, [-1  0], 1.0, [-2.2  0. ], 2.2, Left
1726000566.9564884, [0 1], 1.0, [-1.8  0.2], 1.8110770276274835, Left
1726000567.003318, [-1  0], 1.0, [-0.8  0.4], 0.894427190999916, Left
1726000567.048328, [-2  2], 2.8284271247461903, [-0.8  0.8], 1.1313708498984762, Left
1726000567.094596, [0 1], 1.0, [-0.8  0.8], 1.1313708498984762, Left
1726000567.1413162, [ 0 -1], 1.0, [-0.6  0.6], 0.848528137423857, Left
1726000567.1868842, [-1 -1], 1.4142135623730951, [-0.8  0.2], 0.8246211251235323, Left
1726000567.2328844, [0 1], 1.0, [-0.6  0.4], 0.7211102550927979, Left
1726000567.2809384, [0 0], 0.0, [-0.2  0. ], 0.2, Left
1726000567.3261778, [ 1 -1], 1.4142135623730951, [ 0.  -0.4], 0.4, Center
1726000567.3732178, [0 0], 0.0, [ 0.  -0.2], 0.2, Center
1726000567.4226155, [0 0], 0.0, [0.2 0. ], 0.2, Right
1726000567.4711208, [-1  1], 1.4142135623730951, [0. 0.], 0.0, Center
1726000567.516149, [-1  0], 1.0, [-0.2  0. ], 0.2, Left
1726000567.5613768, [ 0 -1], 1.0, [-0.4  0. ], 0.4, Left
1726000567.6113434, [-2  1], 2.23606797749979, [-0.8  0.2], 0.8246211251235323, Left
1726000567.6582384, [ 0 -1], 1.0, [-0.8  0. ], 0.8, Left
1726000567.704448, [-1  1], 1.4142135623730951, [-0.8  0. ], 0.8, Left
